Measure,Mean r,SD r,N stories,N significant (p<.05),% significant
Rater1_PostView_outbound,-0.05595095624344015,0.5232541919022332,5,4,80.0
Rater2_PostView_outbound,0.10712814739905237,0.2646926867953004,5,2,40.0
Rater3_PostView_outbound,0.08877775861139683,0.3194655356863776,5,4,80.0
Rater4_PostView_outbound,0.2938940778958763,0.2959560618792946,5,5,100.0
Rater1_PostView_inbound,-0.04616366520507068,0.18438302126536837,5,1,20.0
Rater2_PostView_inbound,0.12529589421747414,0.2575413357764993,5,1,20.0
Rater3_PostView_inbound,0.08331050513920099,0.34093641027665345,5,3,60.0
Rater4_PostView_inbound,0.21173168905894135,0.24019667146789317,5,3,60.0
Rater1_Online_outbound,0.06568910546670614,0.38530190007409754,4,2,50.0
Rater2_Online_outbound,0.07600931027132495,0.4721881638610503,5,5,100.0
Rater3_Online_outbound,0.425122065300911,0.2041815211342633,5,4,80.0
Rater4_Online_outbound,0.374505839162744,0.24310062871330695,5,4,80.0
Rater1_Online_inbound,0.05780305440347231,0.440447419333802,4,3,75.0
Rater2_Online_inbound,0.15682291899615508,0.47929374068036146,5,5,100.0
Rater3_Online_inbound,0.35297946077956005,0.3250135056211713,5,4,80.0
Rater4_Online_inbound,0.3300146895962466,0.43774414037865433,5,5,100.0
Avg_postview_outbound,0.06013129120108683,0.34087220524511846,5,4,80.0
Avg_postview_inbound,0.07256403549465278,0.290974394871708,5,2,40.0
Avg_online_outbound,0.28513474632587565,0.276757400756042,5,3,60.0
Avg_online_inbound,0.25799225184313085,0.4918390239970969,5,5,100.0
